listing_id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
44077,0.9899999999999999,1,2,2,1,1,2,1.0,2.0,70.0,3,1125,3,3,1125,1125,3.0,1125.0,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688041187730832,0.0,0.0,0.0,0.0,0.1945078419642532,0.25486148795452,0.2363826003630231,0.0,0.0,0.0,0.0,0.1843845522712683,0.0,0.3183341492221519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2563603598088362,0.0,0.0,0.2054578038252351,0.0,0.2519799140210247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2156874235146196,0.0,0.2355511875831513,0.0,0.5095944699342735,0.0,0.0,0.0,0.0,0.2329371833071678,0.0,0.0,0.0,0.0,0.0,0.2153289055795001
85156,0.9899999999999999,1,2,2,1,1,2,1.0,1.0,67.0,3,21,3,3,21,21,3.0,21.0,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0.1689066031942699,0.313556957384552,0.0,0.0,0.3217790618574874,0.1728497376435329,0.0,0.1723441898306055,0.1769046274534918,0.3013425061913128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769791567628549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1547183218642598,0.1656265179318654,0.1370938025878754,0.1776280061227935,0.0,0.0,0.0,0.0,0.1673508440000575,0.1412408767163775,0.0,0.0,0.1333019141813601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1208980521810942,0.0,0.1320321755608356,0.0,0.0952133691329711,0.3475249935795845,0.0,0.0,0.0,0.1305669625214762,0.1430983075530732,0.165767235972902,0.3559335770843888,0.1449755674716008,0.0,0.120697094149691
159889,0.95,0,3,4,1,1,1,1.0,1.0,45.0,2,21,1,2,21,21,2.0,21.0,1,1,16,36,290,355,44,6,4.74,4.77,4.71,4.86,4.9,4.63,4.74,0,3,0,3,0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4705890040741123,0.0,0.0,0.3771495068639669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7976868049032788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162809,0.8699999999999999,1,2,2,1,1,6,2.0,4.0,80.0,1,12,1,1,12,12,1.0,12.0,1,2,2,2,74,326,41,1,4.84,4.88,4.85,4.95,4.97,4.77,4.85,0,2,0,2,0,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4784776982292423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3678536253154199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3806123500201221,0.2465735560746794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431226038849503,0.0,0.0,0.0,0.4940876708789267,0.0,0.0,0.0
165828,0.91,0,5,5,1,1,5,1.0,3.0,251.0,3,365,3,3,365,365,3.0,365.0,1,1,4,21,31,64,17,0,4.63,4.89,4.69,4.81,4.75,4.34,4.55,1,5,5,0,0,0.48,0.0,0.0,0.0,0.3771873484678751,0.0,0.2603198162657994,0.2510536585740658,0.0,0.0,0.2269179777598958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1556530083040889,0.0,0.0,0.0,0.0,0.0,0.0,0.2494413084136984,0.0,0.0,0.2164132554632773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2055775662998741,0.1499661954024641,0.0,0.0,0.0,0.0,0.0,0.0,0.1433958020223245,0.2616944743734048,0.0,0.0,0.2339259641204552,0.0,0.0,0.0,0.0,0.2183400079268165,0.5029171637856051,0.1817754877803775
165829,0.91,0,5,5,1,1,5,1.0,3.0,244.0,3,365,3,3,365,365,3.0,365.0,1,8,12,12,14,76,20,1,4.69,4.85,4.75,4.78,4.73,4.39,4.59,1,5,5,0,0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2767032793498611,0.0,0.0,0.0,0.0,0.2158357264729403,0.0,0.37263361551799,0.3649930048951155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319500041134388,0.0,0.2405035226753349,0.0,0.0,0.0,0.0,0.0,0.3630781578947852,0.0,0.0,0.0,0.0,0.0,0.0,0.2079501262695703,0.0,0.0,0.0,0.0,0.0,0.0,0.1988393121332645,0.0,0.0,0.3722664974369322,0.0,0.0,0.0,0.0,0.0,0.3027604460874017,0.0,0.0
178860,0.96,0,2,3,1,1,2,1.0,1.0,80.0,2,4,2,2,4,4,2.0,4.0,1,0,0,0,0,313,0,0,4.88,4.94,4.88,4.95,4.96,4.94,4.84,0,2,1,1,0,2.57,0.0,0.0,0.0,0.0,0.2713642886904959,0.0,0.2811596273944645,0.0,0.0,0.0,0.2803595940491905,0.0,0.0,0.2156921871783454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2423652003913224,0.0,0.2555864394098847,0.0,0.0,0.4764477815668039,0.0,0.1660558141227462,0.0,0.2932383134795646,0.0,0.0,0.0,0.0,0.0,0.2302301120398978,0.0,0.2645448155191269,0.2374739456776243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795912687314552,0.0,0.0,0.0,0.0
181823,0.67,0,2,6,1,1,1,1.0,1.0,139.0,1,1125,1,1,1125,1125,1.0,1125.0,1,2,2,2,2,50,0,0,4.6,4.62,4.47,4.79,4.83,4.47,4.47,0,2,0,2,0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6297942451513505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4053328580395781,0.0,0.0,0.0,0.0,0.537448334115079,0.0,0.3875742136993047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237465,0.9199999999999999,0,3,5,1,1,2,1.0,3.0,68.0,1,4,1,1,4,4,1.0,4.0,1,4,22,50,135,392,90,8,4.56,4.71,4.56,4.81,4.79,4.39,4.61,0,3,3,0,0,3.0,0.0,0.0,0.0,0.2729884979459909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2376770937376859,0.0,0.0,0.0,0.0,0.326489148781545,0.0,0.0,0.0,0.0,0.3810096310997158,0.2874764079516425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2905976630819036,0.0,0.3729704750708399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2635572913617823,0.0,0.0,0.0,0.4151295611037077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631192036219179
245903,0.57,1,1,2,1,0,1,1.0,1.0,30.0,30,180,30,30,180,180,30.0,180.0,1,4,4,14,47,43,3,0,4.93,4.93,4.9,4.98,5.0,4.66,4.85,0,1,0,1,0,0.35,0.0,0.0,0.0,0.0,0.0,0.2567225672238254,0.0,0.0,0.0,0.0,0.2468799586795927,0.0,0.0,0.1899349242485988,0.1619298520447901,0.2121749057499442,0.0,0.0,0.0,0.0,0.0,0.3070042109059907,0.0,0.0,0.0,0.0,0.0,0.2297931447687158,0.0,0.0,0.0,0.0,0.2272280396201965,0.0,0.0,0.0,0.2097759647304208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2329537298188677,0.0,0.1795620794767909,0.0,0.0,0.0,0.4242428289059187,0.2580782295145485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2479837824872651,0.3585272189474308
